relative_time(ms),AccZ(m/s²)
0,0.3240760803223
63,0.15163467407227
124,0.259410552978499
213,0.3852987670898
272,0.15043716430664
334,0.16645385742188
404,0.370030517578099
462,0.1294807434082
528,0.342338104248
600,1.23852447509766
664,9.78200820922852
732,9.46212341308594
797,9.39416473388672
856,9.3164762878418
938,9.18115768432617
994,9.13086227416992
1063,8.92803405761719
1141,8.52803405761719
1198,6.20384002685547
1266,5.21934631347656
1326,5.2297271728516
1399,3.40406219482422
1473,0.8783734130859
1531,0.3896397399902
1599,0.3188369750977
1659,0.194894714355499
1744,0.184566192626949
1799,0.261955261230499
1860,0.2618055725098
1920,0.184416503906249
2011,0.262703704833999
2065,0.2622546386719
2125,0.262104949951199
2192,0.262703704833999
2280,0.261955261230499
2335,0.261955261230499
2404,0.1939965820313
2460,0.165106658935549
2522,0.2622546386719
2592,0.2043251037598
